region,month_name,total_sales
South,Mar,283899.0
South,Jan,247306.0
East,Apr,423641.0
East,Nov,401510.0
Central,May,351168.0
East,Mar,371928.0
Central,Oct,293071.0
South,Nov,213685.0
Central,Apr,318228.0
South,Jul,206753.0
Central,Mar,343929.0
East,Jan,401038.0
West,Apr,401833.0
East,Sep,368523.0
South,Sep,245177.0
West,Aug,379306.0
Central,Nov,326674.0
South,Feb,248181.0
West,Mar,407990.0
South,Dec,284136.0
East,Feb,345234.0
West,Dec,481709.0
West,Sep,367189.0
Central,Sep,297075.0
South,Aug,261385.0
East,Jun,325104.0
West,Jan,465862.0
South,Apr,212249.0
Central,Dec,345895.0
West,Oct,424847.0
Central,Jun,317517.0
Central,Aug,272688.0
East,Oct,431539.0
West,Jun,438100.0
West,Jul,386991.0
West,Nov,410391.0
East,Dec,412522.0
South,Jun,239161.0
East,Jul,391600.0
East,May,345542.0
South,Oct,256858.0
Central,Jul,327931.0
Central,Jan,335977.0
East,Aug,392715.0
Central,Feb,307477.0
South,May,253995.0
West,May,445001.0
West,Feb,333890.0
