category,month,total_sales,total_profit
Furniture,Sep,228640.0,39905.0
Furniture,Oct,197609.0,36131.0
Furniture,Mar,241414.0,43451.0
Office Supplies,Feb,570365.0,101079.0
Technology,Jul,207150.0,36873.0
Office Supplies,Dec,681707.0,121265.0
Furniture,Aug,200174.0,35758.0
Office Supplies,Jul,551649.0,99215.0
Office Supplies,Jun,500741.0,90318.0
Technology,Sep,176288.0,30799.0
Technology,Dec,234056.0,40860.0
Technology,Jun,247959.0,44618.0
Office Supplies,Jan,645200.0,116894.0
Technology,Aug,209156.0,36359.0
Technology,Oct,255911.0,42509.0
Technology,Jan,236132.0,44218.0
Office Supplies,Mar,620659.0,105166.0
Office Supplies,Aug,557194.0,102064.0
Office Supplies,Sep,568094.0,97290.0
Office Supplies,Oct,611204.0,105017.0
Furniture,Nov,198376.0,33906.0
Office Supplies,Nov,560950.0,96232.0
Technology,May,210673.0,35650.0
Furniture,Feb,169080.0,31866.0
Office Supplies,Apr,543832.0,97361.0
Furniture,Jan,191246.0,33674.0
Furniture,Jun,191770.0,34691.0
Technology,Nov,248834.0,43624.0
Technology,Mar,211905.0,37383.0
Technology,Feb,188598.0,31081.0
Furniture,Apr,225810.0,40766.0
Technology,Apr,221151.0,38378.0
Furniture,Dec,203594.0,36468.0
Office Supplies,May,582491.0,104317.0
Furniture,Jul,170171.0,30585.0
Furniture,May,203842.0,38332.0
