state,sub_category,quantity_sold,sub_category_rank
Alabama,Binders,132,1
Alabama,Paper,108,2
Alabama,Furnishings,72,3
Alabama,Storage,62,4
Alabama,Accessories,62,4
Alabama,Chairs,57,6
Alabama,Art,54,7
Alabama,Tables,40,8
Alabama,Labels,38,9
Alabama,Phones,37,10
Alabama,Envelopes,35,11
Alabama,Appliances,30,12
Alabama,Fasteners,14,13
Alabama,Bookcases,12,14
Alabama,Supplies,12,14
Alabama,Copiers,4,16
Alabama,Machines,3,17
Arizona,Paper,388,1
Arizona,Binders,387,2
Arizona,Furnishings,385,3
Arizona,Phones,291,4
Arizona,Art,283,5
Arizona,Accessories,261,6
Arizona,Storage,193,7
Arizona,Appliances,174,8
Arizona,Chairs,157,9
Arizona,Labels,151,10
Arizona,Tables,87,11
Arizona,Envelopes,84,12
Arizona,Bookcases,79,13
Arizona,Machines,69,14
Arizona,Fasteners,47,15
Arizona,Supplies,41,16
Arizona,Copiers,14,17
Arkansas,Art,56,1
Arkansas,Phones,51,2
Arkansas,Furnishings,50,3
Arkansas,Paper,43,4
Arkansas,Binders,35,5
Arkansas,Storage,33,6
Arkansas,Accessories,24,7
Arkansas,Chairs,23,8
Arkansas,Fasteners,22,9
Arkansas,Tables,18,10
Arkansas,Labels,18,10
Arkansas,Appliances,18,10
Arkansas,Machines,8,13
Arkansas,Supplies,7,14
Arkansas,Bookcases,5,15
Arkansas,Envelopes,4,16
California,Paper,3237,1
California,Binders,2513,2
California,Phones,2379,3
California,Furnishings,2132,4
California,Art,2071,5
California,Accessories,1848,6
California,Storage,1634,7
California,Appliances,1291,8
California,Chairs,1088,9
California,Labels,863,10
California,Machines,821,11
California,Envelopes,750,12
California,Tables,702,13
California,Bookcases,632,14
California,Fasteners,540,15
California,Supplies,491,16
California,Copiers,155,17
Colorado,Paper,406,1
Colorado,Binders,385,2
Colorado,Phones,291,3
Colorado,Art,277,4
Colorado,Furnishings,268,5
Colorado,Storage,224,6
Colorado,Accessories,200,7
Colorado,Appliances,142,8
Colorado,Chairs,120,9
Colorado,Envelopes,118,10
Colorado,Machines,116,11
Colorado,Labels,98,12
Colorado,Bookcases,98,12
Colorado,Tables,97,14
Colorado,Fasteners,71,15
Colorado,Supplies,54,16
Colorado,Copiers,12,17
Connecticut,Phones,121,1
Connecticut,Paper,106,2
Connecticut,Art,92,3
Connecticut,Accessories,82,4
Connecticut,Binders,78,5
Connecticut,Furnishings,71,6
Connecticut,Appliances,56,7
Connecticut,Storage,51,8
Connecticut,Chairs,42,9
Connecticut,Labels,39,10
Connecticut,Machines,39,10
Connecticut,Fasteners,33,12
Connecticut,Bookcases,24,13
Connecticut,Supplies,18,14
Connecticut,Tables,17,15
Connecticut,Envelopes,7,16
Connecticut,Copiers,7,16
Delaware,Paper,128,1
Delaware,Storage,124,2
Delaware,Furnishings,91,3
Delaware,Accessories,87,4
Delaware,Phones,78,5
Delaware,Appliances,58,6
Delaware,Art,57,7
Delaware,Chairs,53,8
Delaware,Binders,43,9
Delaware,Machines,41,10
Delaware,Tables,28,11
Delaware,Envelopes,25,12
Delaware,Supplies,22,13
Delaware,Labels,20,14
Delaware,Bookcases,17,15
Delaware,Fasteners,12,16
Delaware,Copiers,4,17
District of Columbia,Paper,37,1
District of Columbia,Binders,15,2
District of Columbia,Furnishings,14,3
District of Columbia,Labels,10,4
District of Columbia,Phones,9,5
District of Columbia,Fasteners,7,6
District of Columbia,Art,7,6
District of Columbia,Tables,7,6
District of Columbia,Envelopes,3,9
District of Columbia,Chairs,3,9
District of Columbia,Supplies,3,9
District of Columbia,Appliances,2,12
Florida,Paper,632,1
Florida,Binders,559,2
Florida,Furnishings,438,3
Florida,Art,423,4
Florida,Accessories,397,5
Florida,Phones,394,6
Florida,Storage,265,7
Florida,Appliances,225,8
Florida,Chairs,219,9
Florida,Labels,199,10
Florida,Tables,166,11
Florida,Machines,163,12
Florida,Envelopes,127,13
Florida,Fasteners,116,14
Florida,Supplies,102,15
Florida,Bookcases,101,16
Florida,Copiers,17,17
Georgia,Paper,261,1
Georgia,Binders,221,2
Georgia,Phones,199,3
Georgia,Art,166,4
Georgia,Furnishings,164,5
Georgia,Storage,109,6
Georgia,Chairs,105,7
Georgia,Appliances,97,8
Georgia,Accessories,85,9
Georgia,Tables,78,10
Georgia,Labels,63,11
Georgia,Machines,52,12
Georgia,Bookcases,37,13
Georgia,Envelopes,26,14
Georgia,Supplies,19,15
Georgia,Fasteners,18,16
Georgia,Copiers,5,17
Illinois,Paper,877,1
Illinois,Binders,625,2
Illinois,Furnishings,561,3
Illinois,Phones,553,4
Illinois,Accessories,458,5
Illinois,Art,412,6
Illinois,Storage,361,7
Illinois,Appliances,293,8
Illinois,Chairs,286,9
Illinois,Machines,248,10
Illinois,Labels,221,11
Illinois,Bookcases,196,12
Illinois,Tables,167,13
Illinois,Supplies,138,14
Illinois,Envelopes,135,15
Illinois,Fasteners,114,16
Illinois,Copiers,26,17
Indiana,Paper,196,1
Indiana,Phones,185,2
Indiana,Binders,155,3
Indiana,Accessories,134,4
Indiana,Furnishings,97,5
Indiana,Art,88,6
Indiana,Storage,79,7
Indiana,Appliances,60,8
Indiana,Labels,58,9
Indiana,Chairs,56,10
Indiana,Envelopes,42,11
Indiana,Tables,30,12
Indiana,Machines,29,13
Indiana,Bookcases,24,14
Indiana,Supplies,24,14
Indiana,Fasteners,24,14
Indiana,Copiers,5,17
Iowa,Storage,44,1
Iowa,Binders,42,2
Iowa,Paper,31,3
Iowa,Phones,28,4
Iowa,Chairs,25,5
Iowa,Furnishings,16,6
Iowa,Accessories,16,6
Iowa,Envelopes,14,8
Iowa,Appliances,12,9
Iowa,Art,8,10
Iowa,Fasteners,4,11
Iowa,Labels,3,12
Iowa,Supplies,2,13
Iowa,Tables,1,14
Kansas,Paper,70,1
Kansas,Art,57,2
Kansas,Chairs,44,3
Kansas,Phones,39,4
Kansas,Fasteners,28,5
Kansas,Accessories,20,6
Kansas,Binders,18,7
Kansas,Furnishings,15,8
Kansas,Labels,14,9
Kansas,Supplies,12,10
Kansas,Tables,10,11
Kansas,Storage,9,12
Kansas,Appliances,9,12
Kansas,Bookcases,8,14
Kansas,Machines,8,14
Kansas,Copiers,2,16
Kentucky,Paper,397,1
Kentucky,Binders,258,2
Kentucky,Phones,253,3
Kentucky,Art,217,4
Kentucky,Accessories,188,5
Kentucky,Storage,183,6
Kentucky,Furnishings,181,7
Kentucky,Appliances,146,8
Kentucky,Chairs,122,9
Kentucky,Labels,91,10
Kentucky,Fasteners,90,11
Kentucky,Envelopes,73,12
Kentucky,Bookcases,68,13
Kentucky,Machines,62,14
Kentucky,Tables,41,15
Kentucky,Supplies,39,16
Kentucky,Copiers,18,17
Louisiana,Art,105,1
Louisiana,Binders,87,2
Louisiana,Paper,83,3
Louisiana,Phones,42,4
Louisiana,Chairs,40,5
Louisiana,Furnishings,39,6
Louisiana,Storage,38,7
Louisiana,Appliances,35,8
Louisiana,Accessories,34,9
Louisiana,Fasteners,27,10
Louisiana,Labels,22,11
Louisiana,Machines,21,12
Louisiana,Bookcases,18,13
Louisiana,Envelopes,13,14
