category,month,total_sales,total_profit
Furniture,Sep,255180.0,44357.0
Furniture,Oct,219902.0,40444.0
Furniture,Mar,289056.0,50445.0
Office Supplies,Feb,669648.0,117615.0
Technology,Jul,256198.0,45754.0
Office Supplies,Dec,829507.0,147852.0
Furniture,Aug,247441.0,43986.0
Office Supplies,Jul,667245.0,119551.0
Office Supplies,Jun,624511.0,111256.0
Technology,Sep,209116.0,36498.0
Technology,Dec,273665.0,48262.0
Technology,Jun,286616.0,51779.0
Office Supplies,Jan,767675.0,138955.0
Technology,Aug,257069.0,44774.0
Technology,Oct,297216.0,48857.0
Technology,Jan,263199.0,49083.0
Office Supplies,Mar,700333.0,118474.0
Office Supplies,Aug,654150.0,118221.0
Office Supplies,Sep,652843.0,112095.0
Office Supplies,Oct,719431.0,123807.0
Furniture,Nov,241901.0,41256.0
Office Supplies,Nov,663104.0,114868.0
Technology,May,261438.0,44892.0
Furniture,Feb,200120.0,36652.0
Office Supplies,Apr,642577.0,114281.0
Furniture,Jan,236413.0,41906.0
Furniture,Jun,230567.0,41139.0
Technology,Nov,283591.0,49956.0
Technology,Mar,245516.0,43541.0
Technology,Feb,247847.0,41639.0
Furniture,Apr,266210.0,47755.0
Technology,Apr,269396.0,46808.0
Furniture,Dec,257813.0,47367.0
Office Supplies,May,718599.0,128016.0
Furniture,Jul,205789.0,36345.0
Furniture,May,227122.0,42683.0
