category,month,total_sales,total_profit
Furniture,Sep,247186.0,43154.0
Furniture,Oct,213312.0,39164.0
Furniture,Mar,270517.0,48198.0
Office Supplies,Feb,649616.0,114009.0
Technology,Jul,246884.0,44008.0
Office Supplies,Dec,787132.0,141114.0
Furniture,Aug,237367.0,42080.0
Office Supplies,Jul,629507.0,112065.0
Office Supplies,Jun,574306.0,102816.0
Technology,Sep,200719.0,34935.0
Technology,Dec,265727.0,46967.0
Technology,Jun,281154.0,50735.0
Office Supplies,Jan,719394.0,130434.0
Technology,Aug,242723.0,42042.0
Technology,Oct,287133.0,47026.0
Technology,Jan,252690.0,47283.0
Office Supplies,Mar,676567.0,114144.0
Office Supplies,Aug,617979.0,112984.0
Office Supplies,Sep,623945.0,107150.0
Office Supplies,Oct,682173.0,116993.0
Furniture,Nov,228968.0,38321.0
Office Supplies,Nov,621203.0,106586.0
Technology,May,250594.0,42758.0
Furniture,Feb,192220.0,35451.0
Office Supplies,Apr,617027.0,109857.0
Furniture,Jan,226654.0,40214.0
Furniture,Jun,215065.0,38460.0
Technology,Nov,271954.0,47867.0
Technology,Mar,236100.0,41762.0
Technology,Feb,228190.0,37029.0
Furniture,Apr,249288.0,44808.0
Technology,Apr,257728.0,45157.0
Furniture,Dec,242865.0,44506.0
Office Supplies,May,671128.0,118603.0
Furniture,Jul,188887.0,33703.0
Furniture,May,220129.0,41644.0
