state,total_sales,total_customers
Alabama,108383.0,68
Arizona,410360.0,201
Arkansas,86479.0,19
California,3408908.0,1561
Colorado,424435.0,207
Connecticut,134227.0,70
Delaware,112749.0,50
District of Columbia,17100.0,13
Florida,621822.0,255
Georgia,240431.0,139
Illinois,907998.0,434
Indiana,213050.0,102
Iowa,37561.0,21
Kansas,43546.0,10
Kentucky,347473.0,133
Louisiana,85138.0,39
Maryland,52314.0,27
Massachusetts,234059.0,115
Michigan,301633.0,142
Minnesota,257898.0,114
Mississippi,97411.0,46
Missouri,125178.0,62
Nebraska,20843.0,12
Nevada,37964.0,21
New Hampshire,40075.0,23
New Jersey,260887.0,119
New Mexico,48492.0,33
New York,1700578.0,812
North Carolina,526126.0,292
Ohio,785254.0,380
Oklahoma,61971.0,30
Oregon,69088.0,31
Pennsylvania,934007.0,462
Rhode Island,92736.0,52
South Dakota,19956.0,10
Tennessee,255138.0,135
Texas,1637258.0,765
Utah,82642.0,50
Virginia,334691.0,153
Washington,818599.0,387
Wisconsin,123710.0,83
