category,month,total_sales,total_profit
Furniture,Sep,257233.0,44680.0
Furniture,Oct,222224.0,40879.0
Furniture,Mar,292919.0,51145.0
Office Supplies,Feb,675472.0,118675.0
Technology,Jul,260032.0,46632.0
Office Supplies,Dec,834548.0,148662.0
Furniture,Aug,249834.0,44409.0
Office Supplies,Jul,679721.0,121433.0
Office Supplies,Jun,630805.0,112531.0
Technology,Sep,209588.0,36549.0
Technology,Dec,275842.0,48604.0
Technology,Jun,290604.0,52397.0
Office Supplies,Jan,777846.0,140852.0
Technology,Aug,259654.0,45252.0
Technology,Oct,319483.0,53120.0
Technology,Jan,265959.0,49586.0
Office Supplies,Mar,708764.0,120040.0
Office Supplies,Aug,661110.0,119630.0
Office Supplies,Sep,670256.0,115465.0
Office Supplies,Oct,728332.0,125088.0
Furniture,Nov,244710.0,41687.0
Office Supplies,Nov,673285.0,116591.0
Technology,May,265013.0,45683.0
Furniture,Feb,201348.0,36915.0
Office Supplies,Apr,647225.0,114976.0
Furniture,Jan,240461.0,42671.0
Furniture,Jun,234154.0,41763.0
Technology,Nov,289306.0,51157.0
Technology,Mar,249110.0,44024.0
Technology,Feb,252184.0,42320.0
Furniture,Apr,269196.0,48277.0
Technology,Apr,271470.0,47157.0
Furniture,Dec,262203.0,48064.0
Office Supplies,May,727980.0,129678.0
Furniture,Jul,207234.0,36643.0
Furniture,May,230725.0,43110.0
