region,month_name,total_sales
South,Mar,217397.0
South,Jan,190786.0
East,Apr,306234.0
East,Nov,319608.0
Central,May,269138.0
East,Mar,285908.0
Central,Oct,237720.0
South,Nov,167128.0
Central,Apr,258977.0
South,Jul,149345.0
Central,Mar,283306.0
East,Jan,300339.0
West,Apr,298644.0
East,Sep,276594.0
South,Sep,192602.0
West,Aug,282854.0
Central,Nov,262346.0
South,Feb,208747.0
West,Mar,325419.0
South,Dec,218225.0
East,Feb,282705.0
West,Dec,368981.0
West,Sep,294107.0
Central,Sep,248708.0
South,Aug,195387.0
East,Jun,250083.0
West,Jan,362219.0
South,Apr,169776.0
Central,Dec,278734.0
West,Oct,336056.0
Central,Jun,240507.0
Central,Aug,216901.0
East,Oct,335314.0
West,Jun,304724.0
West,Jul,311091.0
West,Nov,305937.0
East,Dec,323300.0
South,Jun,183501.0
East,Jul,289724.0
East,May,272274.0
South,Oct,205368.0
Central,Jul,239716.0
Central,Jan,260328.0
East,Aug,313875.0
Central,Feb,240851.0
South,May,196782.0
West,May,312529.0
West,Feb,251509.0
