region,month_name,total_sales
South,Mar,227240.0
South,Jan,209317.0
East,Apr,326835.0
East,Nov,332437.0
Central,May,286635.0
East,Mar,299591.0
Central,Oct,246183.0
South,Nov,176001.0
Central,Apr,272330.0
South,Jul,156552.0
Central,Mar,298300.0
East,Jan,317054.0
West,Apr,315605.0
East,Sep,289280.0
South,Sep,197726.0
West,Aug,312440.0
Central,Nov,272219.0
South,Feb,214505.0
West,Mar,344547.0
South,Dec,233590.0
East,Feb,298503.0
West,Dec,383992.0
West,Sep,311939.0
Central,Sep,262289.0
South,Aug,210176.0
East,Jun,270500.0
West,Jan,389808.0
South,Apr,178064.0
Central,Dec,290133.0
West,Oct,349819.0
Central,Jun,260646.0
Central,Aug,229541.0
East,Oct,348388.0
West,Jun,333590.0
West,Jul,328821.0
West,Nov,328297.0
East,Dec,347408.0
South,Jun,189274.0
East,Jul,303566.0
East,May,283586.0
South,Oct,213551.0
Central,Jul,258214.0
Central,Jan,270785.0
East,Aug,332984.0
Central,Feb,264389.0
South,May,206197.0
West,May,337780.0
West,Feb,273714.0
