segment,month_name,total_sales,total_profit
Corporate,Oct,354644.0,60447.0
Home Office,Jul,214963.0,36799.0
Consumer,Jul,525800.0,93904.0
Corporate,Mar,323944.0,56026.0
Consumer,Nov,506872.0,87625.0
Home Office,Aug,182894.0,30795.0
Consumer,Aug,571637.0,105142.0
Corporate,Aug,302829.0,53820.0
Home Office,Apr,185131.0,33266.0
Consumer,Jun,513924.0,91801.0
Consumer,May,541660.0,96595.0
Home Office,Sep,164987.0,27439.0
Corporate,Jul,288246.0,52832.0
Corporate,Dec,420467.0,77141.0
Corporate,May,352850.0,61503.0
Corporate,Apr,325532.0,56804.0
Home Office,May,194503.0,35859.0
Home Office,Jan,223287.0,40985.0
Home Office,Jun,171916.0,32136.0
Consumer,Sep,563452.0,97632.0
Home Office,Mar,227597.0,36469.0
Consumer,Apr,552167.0,99348.0
Home Office,Nov,209627.0,36871.0
Home Office,Oct,217930.0,37568.0
Consumer,Dec,614886.0,110273.0
Corporate,Nov,370726.0,62330.0
Corporate,Sep,307537.0,54106.0
Corporate,Feb,322087.0,54794.0
Home Office,Feb,181371.0,32599.0
Consumer,Mar,598616.0,105923.0
Consumer,Oct,569468.0,98592.0
Corporate,Jan,386252.0,67881.0
Consumer,Jan,541996.0,100198.0
Corporate,Jun,317668.0,56304.0
Home Office,Dec,195428.0,33055.0
Consumer,Feb,512746.0,91027.0
