region,month_name,total_sales
South,Mar,294061.0
South,Jan,257920.0
East,Apr,437989.0
East,Nov,426699.0
Central,May,369462.0
East,Mar,402307.0
Central,Oct,311083.0
South,Nov,221796.0
Central,Apr,328673.0
South,Jul,212342.0
Central,Mar,352258.0
East,Jan,416090.0
West,Apr,419049.0
East,Sep,390871.0
South,Sep,254872.0
West,Aug,398536.0
Central,Nov,340604.0
South,Feb,258625.0
West,Mar,422264.0
South,Dec,293568.0
East,Feb,357555.0
West,Dec,506188.0
West,Sep,389124.0
Central,Sep,309345.0
South,Aug,271746.0
East,Jun,339027.0
West,Jan,482442.0
South,Apr,231490.0
Central,Dec,354335.0
West,Oct,442592.0
Central,Jun,332969.0
Central,Aug,282571.0
East,Oct,460102.0
West,Jun,461958.0
West,Jul,412225.0
West,Nov,431266.0
East,Dec,426221.0
South,Jun,258815.0
East,Jul,410698.0
East,May,366408.0
South,Oct,265242.0
Central,Jul,351494.0
Central,Jan,348344.0
East,Aug,406270.0
Central,Feb,326387.0
South,May,263780.0
West,May,472066.0
West,Feb,349607.0
