segment,month_name,total_sales,total_profit
Corporate,Oct,424962.0,74125.0
Home Office,Jul,285687.0,48999.0
Consumer,Jul,655178.0,114617.0
Corporate,Mar,409842.0,69946.0
Consumer,Nov,629648.0,108568.0
Home Office,Aug,224592.0,38021.0
Consumer,Aug,697324.0,127370.0
Corporate,Aug,379924.0,66925.0
Home Office,Apr,226260.0,40267.0
Consumer,Jun,684780.0,120288.0
Consumer,May,688804.0,121587.0
Home Office,Sep,212983.0,35841.0
Corporate,Jul,368721.0,67120.0
Corporate,Dec,490878.0,89548.0
Corporate,May,423398.0,74629.0
Corporate,Apr,430745.0,74666.0
Home Office,May,273071.0,50485.0
Home Office,Jan,278479.0,50667.0
Home Office,Jun,234318.0,42215.0
Consumer,Sep,693999.0,120786.0
Home Office,Mar,275355.0,45563.0
Consumer,Apr,693739.0,124339.0
Home Office,Nov,254247.0,44202.0
Home Office,Oct,276605.0,48583.0
Consumer,Dec,770343.0,136265.0
Corporate,Nov,465886.0,81170.0
Corporate,Sep,368232.0,64613.0
Corporate,Feb,384806.0,65433.0
Home Office,Feb,223389.0,40272.0
Consumer,Mar,717889.0,125373.0
Consumer,Oct,699933.0,120099.0
Corporate,Jan,454796.0,79953.0
Consumer,Jan,704181.0,129770.0
Corporate,Jun,385963.0,69374.0
Home Office,Dec,259248.0,43727.0
Consumer,Feb,622437.0,110170.0
