region,month_name,total_sales
South,Mar,230129.0
South,Jan,212900.0
East,Apr,335146.0
East,Nov,339335.0
Central,May,295871.0
East,Mar,305637.0
Central,Oct,251615.0
South,Nov,179798.0
Central,Apr,277227.0
South,Jul,162206.0
Central,Mar,302173.0
East,Jan,320872.0
West,Apr,334155.0
East,Sep,293562.0
South,Sep,200018.0
West,Aug,317615.0
Central,Nov,274807.0
South,Feb,220504.0
West,Mar,347330.0
South,Dec,246139.0
East,Feb,303409.0
West,Dec,402272.0
West,Sep,315765.0
Central,Sep,266505.0
South,Aug,211960.0
East,Jun,276145.0
West,Jan,394727.0
South,Apr,181833.0
Central,Dec,299627.0
West,Oct,355325.0
Central,Jun,265087.0
Central,Aug,233598.0
East,Oct,360261.0
West,Jun,339783.0
West,Jul,337370.0
West,Nov,332475.0
East,Dec,352012.0
South,Jun,191234.0
East,Jul,307950.0
East,May,287042.0
South,Oct,218422.0
Central,Jul,261361.0
Central,Jan,274549.0
East,Aug,338862.0
Central,Feb,268293.0
South,May,208711.0
West,May,353622.0
West,Feb,281619.0
