state,total_sales,total_customers
Alabama,99211.0,59
Arizona,357978.0,150
Arkansas,71422.0,13
California,2929162.0,1152
Colorado,374875.0,154
Connecticut,125199.0,55
Delaware,105748.0,41
District of Columbia,11048.0,7
Florida,559576.0,189
Georgia,205736.0,113
Illinois,766003.0,320
Indiana,191828.0,83
Iowa,34158.0,17
Kansas,37428.0,7
Kentucky,319623.0,100
Louisiana,75745.0,32
Maryland,49477.0,20
Massachusetts,192264.0,79
Michigan,270229.0,112
Minnesota,227223.0,89
Mississippi,84737.0,34
Missouri,104604.0,49
Nebraska,19934.0,10
Nevada,34666.0,17
New Hampshire,30350.0,12
New Jersey,211464.0,76
New Mexico,45951.0,30
New York,1474690.0,610
North Carolina,463020.0,228
Ohio,666998.0,271
Oklahoma,53935.0,22
Oregon,53567.0,21
Pennsylvania,780278.0,339
Rhode Island,77144.0,34
South Dakota,19263.0,9
Tennessee,223519.0,92
Texas,1422202.0,555
Utah,71463.0,38
Virginia,300697.0,108
Washington,673162.0,276
Wisconsin,113454.0,69
