region,month_name,total_sales
South,Mar,243230.0
South,Jan,215903.0
East,Apr,349418.0
East,Nov,348512.0
Central,May,302633.0
East,Mar,314711.0
Central,Oct,260298.0
South,Nov,183982.0
Central,Apr,282785.0
South,Jul,166189.0
Central,Mar,308683.0
East,Jan,326908.0
West,Apr,348902.0
East,Sep,299599.0
South,Sep,206396.0
West,Aug,327502.0
Central,Nov,283692.0
South,Feb,227017.0
West,Mar,356411.0
South,Dec,251381.0
East,Feb,310666.0
West,Dec,419038.0
West,Sep,328746.0
Central,Sep,271081.0
South,Aug,229931.0
East,Jun,289162.0
West,Jan,409100.0
South,Apr,189672.0
Central,Dec,307043.0
West,Oct,371917.0
Central,Jun,271742.0
Central,Aug,242006.0
East,Oct,374194.0
West,Jun,366298.0
West,Jul,349815.0
West,Nov,351280.0
East,Dec,366475.0
South,Jun,199967.0
East,Jul,314961.0
East,May,296052.0
South,Oct,224234.0
Central,Jul,275254.0
Central,Jan,292718.0
East,Aug,345956.0
Central,Feb,274297.0
South,May,210757.0
West,May,380102.0
West,Feb,297760.0
