category,month,total_sales,total_profit
Furniture,Sep,272098.0,47174.0
Furniture,Oct,239294.0,43979.0
Furniture,Mar,306461.0,53733.0
Office Supplies,Feb,712416.0,125250.0
Technology,Jul,282883.0,50529.0
Office Supplies,Dec,882736.0,156442.0
Furniture,Aug,264446.0,46645.0
Office Supplies,Jul,741793.0,130773.0
Office Supplies,Jun,687067.0,122108.0
Technology,Sep,224994.0,39056.0
Technology,Dec,302120.0,52933.0
Technology,Jun,309446.0,55968.0
Office Supplies,Jan,827056.0,149054.0
Technology,Aug,288920.0,49857.0
Technology,Oct,336835.0,56194.0
Technology,Jan,294385.0,54681.0
Office Supplies,Mar,761966.0,129086.0
Office Supplies,Aug,695907.0,125617.0
Office Supplies,Sep,734178.0,127032.0
Office Supplies,Oct,779808.0,135274.0
Furniture,Nov,259671.0,44340.0
Office Supplies,Nov,725000.0,124407.0
Technology,May,283877.0,48985.0
Furniture,Feb,210789.0,38766.0
Office Supplies,Apr,708744.0,126396.0
Furniture,Jan,258527.0,45771.0
Furniture,Jun,259361.0,44789.0
Technology,Nov,312532.0,56011.0
Technology,Mar,267943.0,47284.0
Technology,Feb,266286.0,44883.0
Furniture,Apr,296347.0,53418.0
Technology,Apr,287520.0,50059.0
Furniture,Dec,284645.0,51301.0
Office Supplies,May,771833.0,137524.0
Furniture,Jul,237892.0,41639.0
Furniture,May,253908.0,46457.0
