state,total_sales,total_customers
Alabama,99211.0,59
Arizona,356973.0,147
Arkansas,71422.0,13
California,2918876.0,1131
Colorado,364601.0,152
Connecticut,125077.0,54
Delaware,105527.0,40
District of Columbia,10432.0,6
Florida,550814.0,182
Georgia,202478.0,111
Illinois,759334.0,315
Indiana,187764.0,80
Iowa,34158.0,17
Kansas,37428.0,7
Kentucky,315741.0,97
Louisiana,75745.0,32
Maryland,49477.0,20
Massachusetts,191807.0,78
Michigan,268610.0,111
Minnesota,223511.0,85
Mississippi,84295.0,33
Missouri,103737.0,48
Nebraska,19934.0,10
Nevada,34666.0,17
New Hampshire,30350.0,12
New Jersey,210829.0,74
New Mexico,44224.0,28
New York,1458738.0,601
North Carolina,456890.0,222
Ohio,656975.0,266
Oklahoma,53174.0,21
Oregon,53567.0,21
Pennsylvania,763233.0,331
Rhode Island,77144.0,34
South Dakota,19263.0,9
Tennessee,222805.0,91
Texas,1393884.0,544
Utah,69624.0,36
Virginia,299008.0,107
Washington,670367.0,272
Wisconsin,113454.0,69
