region,month_name,total_sales
South,Mar,297392.0
South,Jan,262878.0
East,Apr,441217.0
East,Nov,428383.0
Central,May,375519.0
East,Mar,407762.0
Central,Oct,314928.0
South,Nov,224719.0
Central,Apr,346343.0
South,Jul,213931.0
Central,Mar,356200.0
East,Jan,419707.0
West,Apr,422946.0
East,Sep,396755.0
South,Sep,257448.0
West,Aug,402422.0
Central,Nov,344096.0
South,Feb,260140.0
West,Mar,426911.0
South,Dec,296807.0
East,Feb,364445.0
West,Dec,510239.0
West,Sep,392603.0
Central,Sep,314667.0
South,Aug,280968.0
East,Jun,340492.0
West,Jan,485886.0
South,Apr,233555.0
Central,Dec,357793.0
West,Oct,464340.0
Central,Jun,337608.0
Central,Aug,288528.0
East,Oct,465197.0
West,Jun,467004.0
West,Jul,414680.0
West,Nov,436868.0
East,Dec,430093.0
South,Jun,262327.0
East,Jul,417376.0
East,May,369210.0
South,Oct,268467.0
Central,Jul,359935.0
Central,Jan,356118.0
East,Aug,410628.0
Central,Feb,348608.0
South,May,266143.0
West,May,475918.0
West,Feb,352538.0
