state,total_sales,total_customers
Alabama,100990.0,61
Arizona,381685.0,175
Arkansas,72973.0,16
California,3096687.0,1312
Colorado,392703.0,171
Connecticut,129787.0,63
Delaware,107969.0,44
District of Columbia,12360.0,8
Florida,577979.0,211
Georgia,225219.0,124
Illinois,828618.0,366
Indiana,195638.0,89
Iowa,36309.0,20
Kansas,41726.0,9
Kentucky,330221.0,113
Louisiana,78543.0,34
Maryland,50676.0,24
Massachusetts,208676.0,93
Michigan,285330.0,125
Minnesota,231414.0,93
Mississippi,92869.0,40
Missouri,122502.0,57
Nebraska,20674.0,11
Nevada,35961.0,18
New Hampshire,35856.0,19
New Jersey,222413.0,89
New Mexico,47127.0,31
New York,1574108.0,700
North Carolina,496852.0,256
Ohio,731711.0,318
Oklahoma,57115.0,24
Oregon,55067.0,25
Pennsylvania,838202.0,383
Rhode Island,85380.0,45
South Dakota,19956.0,10
Tennessee,240152.0,111
Texas,1523439.0,646
Utah,79873.0,43
Virginia,311216.0,125
Washington,744215.0,325
Wisconsin,118968.0,75
