region,month_name,total_sales
South,Mar,246704.0
South,Jan,219464.0
East,Apr,353428.0
East,Nov,356743.0
Central,May,307605.0
East,Mar,321750.0
Central,Oct,264062.0
South,Nov,187802.0
Central,Apr,287098.0
South,Jul,171076.0
Central,Mar,314118.0
East,Jan,345927.0
West,Apr,354560.0
East,Sep,315530.0
South,Sep,210475.0
West,Aug,335194.0
Central,Nov,290772.0
South,Feb,230317.0
West,Mar,361905.0
South,Dec,253575.0
East,Feb,314907.0
West,Dec,426547.0
West,Sep,332123.0
Central,Sep,276601.0
South,Aug,230993.0
East,Jun,295409.0
West,Jan,415307.0
South,Apr,191248.0
Central,Dec,313370.0
West,Oct,385737.0
Central,Jun,275887.0
Central,Aug,244713.0
East,Oct,390316.0
West,Jun,371204.0
West,Jul,355560.0
West,Nov,367688.0
East,Dec,376212.0
South,Jun,208879.0
East,Jul,330584.0
East,May,305175.0
South,Oct,225191.0
Central,Jul,282608.0
Central,Jan,297254.0
East,Aug,352664.0
Central,Feb,277974.0
South,May,221141.0
West,May,385529.0
West,Feb,301743.0
