category,month,total_sales,total_profit
Furniture,Sep,246592.0,43078.0
Furniture,Oct,212765.0,39061.0
Furniture,Mar,268469.0,47850.0
Office Supplies,Feb,642542.0,112919.0
Technology,Jul,243925.0,43593.0
Office Supplies,Dec,785230.0,140738.0
Furniture,Aug,235186.0,41528.0
Office Supplies,Jul,624220.0,111247.0
Office Supplies,Jun,568817.0,101922.0
Technology,Sep,199876.0,34839.0
Technology,Dec,264860.0,46763.0
Technology,Jun,279897.0,50534.0
Office Supplies,Jan,716448.0,129877.0
Technology,Aug,241646.0,41914.0
Technology,Oct,284679.0,46720.0
Technology,Jan,251659.0,47156.0
Office Supplies,Mar,672202.0,113479.0
Office Supplies,Aug,616257.0,112772.0
Office Supplies,Sep,622885.0,106993.0
Office Supplies,Oct,677671.0,116390.0
Furniture,Nov,227848.0,38165.0
Office Supplies,Nov,618048.0,106010.0
Technology,May,247336.0,42345.0
Furniture,Feb,188977.0,34949.0
Office Supplies,Apr,606453.0,108362.0
Furniture,Jan,224325.0,39959.0
Furniture,Jun,212907.0,38095.0
Technology,Nov,271082.0,47706.0
Technology,Mar,235374.0,41608.0
Technology,Feb,227543.0,36938.0
Furniture,Apr,246163.0,44376.0
Technology,Apr,255481.0,44708.0
Furniture,Dec,231029.0,42450.0
Office Supplies,May,665650.0,117661.0
Furniture,Jul,186610.0,33329.0
Furniture,May,219512.0,41508.0
