region,month_name,total_sales
South,Mar,264877.0
South,Jan,230340.0
East,Apr,389984.0
East,Nov,379557.0
Central,May,324875.0
East,Mar,343873.0
Central,Oct,280352.0
South,Nov,198827.0
Central,Apr,305681.0
South,Jul,187075.0
Central,Mar,331134.0
East,Jan,378848.0
West,Apr,387889.0
East,Sep,350296.0
South,Sep,230513.0
West,Aug,360632.0
Central,Nov,314310.0
South,Feb,237680.0
West,Mar,384980.0
South,Dec,272254.0
East,Feb,328986.0
West,Dec,455691.0
West,Sep,345881.0
Central,Sep,289823.0
South,Aug,248852.0
East,Jun,310554.0
West,Jan,440690.0
South,Apr,199594.0
Central,Dec,322884.0
West,Oct,407824.0
Central,Jun,304866.0
Central,Aug,259437.0
East,Oct,412109.0
West,Jun,408506.0
West,Jul,374576.0
West,Nov,391302.0
East,Dec,395934.0
South,Jun,221642.0
East,Jul,364504.0
East,May,320181.0
South,Oct,239751.0
Central,Jul,310204.0
Central,Jan,315134.0
East,Aug,367358.0
Central,Feb,293905.0
South,May,234220.0
West,May,404872.0
West,Feb,316026.0
