region,month_name,total_sales
South,Mar,255684.0
South,Jan,223209.0
East,Apr,356552.0
East,Nov,359573.0
Central,May,309558.0
East,Mar,324626.0
Central,Oct,268841.0
South,Nov,190455.0
Central,Apr,294411.0
South,Jul,176211.0
Central,Mar,318158.0
East,Jan,352155.0
West,Apr,368279.0
East,Sep,318908.0
South,Sep,212396.0
West,Aug,347470.0
Central,Nov,292090.0
South,Feb,234712.0
West,Mar,366923.0
South,Dec,257921.0
East,Feb,316944.0
West,Dec,431853.0
West,Sep,337843.0
Central,Sep,279735.0
South,Aug,234605.0
East,Jun,298832.0
West,Jan,423195.0
South,Apr,193207.0
Central,Dec,316692.0
West,Oct,389771.0
Central,Jun,280367.0
Central,Aug,246719.0
East,Oct,400285.0
West,Jun,376967.0
West,Jul,361008.0
West,Nov,374371.0
East,Dec,379355.0
South,Jun,214878.0
East,Jul,337405.0
East,May,306755.0
South,Oct,229711.0
Central,Jul,285943.0
Central,Jan,302114.0
East,Aug,355630.0
Central,Feb,281786.0
South,May,224742.0
West,May,390419.0
West,Feb,305676.0
