region,month_name,total_sales
South,Mar,290595.0
South,Jan,250484.0
East,Apr,429371.0
East,Nov,409694.0
Central,May,362937.0
East,Mar,378288.0
Central,Oct,303071.0
South,Nov,218095.0
Central,Apr,324453.0
South,Jul,209308.0
Central,Mar,348301.0
East,Jan,407885.0
West,Apr,405743.0
East,Sep,372876.0
South,Sep,251420.0
West,Aug,387305.0
Central,Nov,332297.0
South,Feb,249956.0
West,Mar,414636.0
South,Dec,288263.0
East,Feb,349787.0
West,Dec,497493.0
West,Sep,378762.0
Central,Sep,303851.0
South,Aug,264569.0
East,Jun,331361.0
West,Jan,470460.0
South,Apr,225411.0
Central,Dec,349541.0
West,Oct,431754.0
Central,Jun,325876.0
Central,Aug,277094.0
East,Oct,439490.0
West,Jun,451033.0
West,Jul,398181.0
West,Nov,423465.0
East,Dec,418406.0
South,Jun,243439.0
East,Jul,398533.0
East,May,352679.0
South,Oct,260432.0
Central,Jul,335149.0
Central,Jan,342739.0
East,Aug,396686.0
Central,Feb,313464.0
South,May,257905.0
West,May,453898.0
West,Feb,342031.0
