category,month,total_sales,total_profit
Furniture,Sep,270692.0,46883.0
Furniture,Oct,237184.0,43526.0
Furniture,Mar,304839.0,53398.0
Office Supplies,Feb,708063.0,124440.0
Technology,Jul,281827.0,50319.0
Office Supplies,Dec,877634.0,155603.0
Furniture,Aug,262710.0,46406.0
Office Supplies,Jul,734809.0,129659.0
Office Supplies,Jun,682329.0,121450.0
Technology,Sep,222373.0,38754.0
Technology,Dec,300270.0,52645.0
Technology,Jun,307814.0,55690.0
Office Supplies,Jan,823561.0,148564.0
Technology,Aug,286699.0,49486.0
Technology,Oct,334166.0,55720.0
Technology,Jan,290726.0,54009.0
Office Supplies,Mar,756515.0,128166.0
Office Supplies,Aug,690324.0,124670.0
Office Supplies,Sep,726027.0,125513.0
Office Supplies,Oct,772606.0,133916.0
Furniture,Nov,258604.0,44128.0
Office Supplies,Nov,718203.0,123401.0
Technology,May,277064.0,47868.0
Furniture,Feb,209824.0,38592.0
Office Supplies,Apr,705480.0,125887.0
Furniture,Jan,254853.0,45196.0
Furniture,Jun,258720.0,44735.0
Technology,Nov,309914.0,55523.0
Technology,Mar,266398.0,46962.0
Technology,Feb,264962.0,44696.0
Furniture,Apr,294249.0,53059.0
Technology,Apr,285832.0,49658.0
Furniture,Dec,273541.0,50141.0
Office Supplies,May,766955.0,136617.0
Furniture,Jul,234371.0,41086.0
Furniture,May,252976.0,46292.0
