region,month_name,total_sales
South,Mar,221961.0
South,Jan,194830.0
East,Apr,312506.0
East,Nov,322976.0
Central,May,274283.0
East,Mar,290394.0
Central,Oct,243631.0
South,Nov,171113.0
Central,Apr,264347.0
South,Jul,153758.0
Central,Mar,293667.0
East,Jan,306059.0
West,Apr,303939.0
East,Sep,281677.0
South,Sep,195278.0
West,Aug,305880.0
Central,Nov,266803.0
South,Feb,211954.0
West,Mar,337092.0
South,Dec,219545.0
East,Feb,288017.0
West,Dec,375368.0
West,Sep,301489.0
Central,Sep,252441.0
South,Aug,198827.0
East,Jun,257160.0
West,Jan,376558.0
South,Apr,172647.0
Central,Dec,282911.0
West,Oct,341407.0
Central,Jun,246517.0
Central,Aug,223504.0
East,Oct,339013.0
West,Jun,311859.0
West,Jul,318936.0
West,Nov,314510.0
East,Dec,337173.0
South,Jun,184046.0
East,Jul,298488.0
East,May,275970.0
South,Oct,210429.0
Central,Jul,242378.0
Central,Jan,265131.0
East,Aug,323322.0
Central,Feb,246957.0
South,May,200856.0
West,May,327643.0
West,Feb,261244.0
