state,total_sales,total_customers
Alabama,101732.0,62
Arizona,386532.0,181
Arkansas,73663.0,17
California,3185930.0,1376
Colorado,399858.0,180
Connecticut,130349.0,64
Delaware,110906.0,47
District of Columbia,13366.0,9
Florida,590198.0,223
Georgia,230750.0,128
Illinois,854431.0,391
Indiana,195950.0,90
Iowa,36309.0,20
Kansas,43546.0,10
Kentucky,335078.0,120
Louisiana,79548.0,36
Maryland,50906.0,25
Massachusetts,222545.0,101
Michigan,286169.0,127
Minnesota,237794.0,99
Mississippi,96078.0,44
Missouri,124366.0,61
Nebraska,20674.0,11
Nevada,37964.0,21
New Hampshire,36829.0,20
New Jersey,231596.0,98
New Mexico,47127.0,31
New York,1615360.0,733
North Carolina,505469.0,268
Ohio,741480.0,331
Oklahoma,60415.0,26
Oregon,64129.0,26
Pennsylvania,857580.0,402
Rhode Island,86545.0,46
South Dakota,19956.0,10
Tennessee,244738.0,117
Texas,1548019.0,674
Utah,80327.0,44
Virginia,318437.0,132
Washington,768874.0,342
Wisconsin,120840.0,78
