state,total_sales,total_customers
Alabama,113402.0,71
Arizona,438097.0,227
Arkansas,89967.0,22
California,3585996.0,1724
Colorado,450132.0,232
Connecticut,138916.0,75
Delaware,119970.0,57
District of Columbia,17817.0,14
Florida,665908.0,296
Georgia,256890.0,153
Illinois,931590.0,468
Indiana,224968.0,117
Iowa,38719.0,22
Kansas,44332.0,12
Kentucky,355115.0,146
Louisiana,87726.0,41
Maryland,52750.0,28
Massachusetts,236082.0,118
Michigan,313839.0,155
Minnesota,267244.0,125
Mississippi,101376.0,52
Missouri,129478.0,67
Nebraska,20843.0,12
Nevada,37964.0,21
New Hampshire,41116.0,25
New Jersey,277396.0,136
New Mexico,48492.0,33
New York,1797777.0,906
North Carolina,543084.0,315
Ohio,818431.0,415
Oklahoma,67336.0,34
Oregon,69151.0,32
Pennsylvania,984792.0,518
Rhode Island,93602.0,54
South Dakota,19956.0,10
Tennessee,276293.0,152
Texas,1724797.0,848
Utah,86573.0,57
Virginia,349500.0,170
Washington,886225.0,441
Wisconsin,140562.0,92
