segment,month_name,total_sales,total_profit
Corporate,Oct,416693.0,72615.0
Home Office,Jul,283736.0,48681.0
Consumer,Jul,646660.0,113354.0
Corporate,Mar,403393.0,68867.0
Consumer,Nov,624125.0,107493.0
Home Office,Aug,220205.0,37259.0
Consumer,Aug,689189.0,126107.0
Corporate,Aug,375819.0,66174.0
Home Office,Apr,225214.0,40014.0
Consumer,Jun,677555.0,119007.0
Consumer,May,678894.0,119903.0
Home Office,Sep,210393.0,35328.0
Corporate,Jul,364001.0,66070.0
Corporate,Dec,486174.0,88503.0
Corporate,May,419788.0,74014.0
Corporate,Apr,427454.0,74143.0
Home Office,May,265323.0,48833.0
Home Office,Jan,274391.0,49998.0
Home Office,Jun,230010.0,41481.0
Consumer,Sep,684642.0,119074.0
Home Office,Mar,275176.0,45553.0
Consumer,Apr,687610.0,123129.0
Home Office,Nov,249340.0,43122.0
Home Office,Oct,274775.0,48287.0
Consumer,Dec,766451.0,135719.0
Corporate,Nov,460132.0,80369.0
Corporate,Sep,364003.0,63853.0
Corporate,Feb,378030.0,64371.0
Home Office,Feb,222577.0,40109.0
Consumer,Mar,713289.0,124620.0
Consumer,Oct,689166.0,118682.0
Corporate,Jan,449935.0,79195.0
Consumer,Jan,696783.0,128459.0
Corporate,Jun,383012.0,68749.0
Home Office,Dec,257083.0,43462.0
Consumer,Feb,619100.0,109622.0
