region,month_name,total_sales
South,Mar,268831.0
South,Jan,233348.0
East,Apr,404906.0
East,Nov,385321.0
Central,May,340317.0
East,Mar,349271.0
Central,Oct,283243.0
South,Nov,202796.0
Central,Apr,309160.0
South,Jul,189493.0
Central,Mar,336677.0
East,Jan,384270.0
West,Apr,393804.0
East,Sep,357305.0
South,Sep,233181.0
West,Aug,362876.0
Central,Nov,318230.0
South,Feb,240479.0
West,Mar,388975.0
South,Dec,275731.0
East,Feb,332321.0
West,Dec,465317.0
West,Sep,352480.0
Central,Sep,292485.0
South,Aug,249505.0
East,Jun,314684.0
West,Jan,447761.0
South,Apr,202052.0
Central,Dec,337322.0
West,Oct,414133.0
Central,Jun,310930.0
Central,Aug,264309.0
East,Oct,419643.0
West,Jun,414004.0
West,Jul,377194.0
West,Nov,394862.0
East,Dec,402182.0
South,Jun,224641.0
East,Jul,382869.0
East,May,326519.0
South,Oct,243128.0
Central,Jul,316760.0
Central,Jan,320204.0
East,Aug,374288.0
Central,Feb,298772.0
South,May,245832.0
West,May,412666.0
West,Feb,320692.0
