category,month,total_sales,total_profit
Furniture,Sep,266798.0,46250.0
Furniture,Oct,234822.0,43051.0
Furniture,Mar,301144.0,52744.0
Office Supplies,Feb,697996.0,122416.0
Technology,Jul,276390.0,49242.0
Office Supplies,Dec,865100.0,153711.0
Furniture,Aug,260967.0,46114.0
Office Supplies,Jul,724438.0,127746.0
Office Supplies,Jun,670566.0,119253.0
Technology,Sep,217302.0,38064.0
Technology,Dec,296982.0,52052.0
Technology,Jun,304858.0,55086.0
Office Supplies,Jan,812382.0,146448.0
Technology,Aug,283758.0,48841.0
Technology,Oct,326326.0,54129.0
Technology,Jan,288414.0,53694.0
Office Supplies,Mar,744930.0,125987.0
Office Supplies,Aug,682730.0,123106.0
Office Supplies,Sep,708868.0,122467.0
Office Supplies,Oct,765764.0,132978.0
Furniture,Nov,253293.0,43105.0
Office Supplies,Nov,707853.0,121705.0
Technology,May,273157.0,47218.0
Furniture,Feb,208462.0,38341.0
Office Supplies,Apr,699762.0,125048.0
Furniture,Jan,252096.0,44548.0
Furniture,Jun,254637.0,44261.0
Technology,Nov,298997.0,52781.0
Technology,Mar,262547.0,46276.0
Technology,Feb,263262.0,44482.0
Furniture,Apr,290310.0,52348.0
Technology,Apr,281363.0,48790.0
Furniture,Dec,271689.0,49834.0
Office Supplies,May,752176.0,134031.0
Furniture,Jul,220258.0,38960.0
Furniture,May,240790.0,44793.0
