category,month,total_sales,total_profit
Furniture,Sep,272735.0,47271.0
Furniture,Oct,242536.0,44401.0
Furniture,Mar,309081.0,54219.0
Office Supplies,Feb,722522.0,127239.0
Technology,Jul,285319.0,50896.0
Office Supplies,Dec,898016.0,159439.0
Furniture,Aug,271158.0,48470.0
Office Supplies,Jul,750138.0,132001.0
Office Supplies,Jun,699183.0,124327.0
Technology,Sep,227998.0,39540.0
Technology,Dec,305959.0,53639.0
Technology,Jun,313158.0,56595.0
Office Supplies,Jan,842457.0,152301.0
Technology,Aug,295319.0,50869.0
Technology,Oct,341137.0,56991.0
Technology,Jan,298800.0,55323.0
Office Supplies,Mar,769600.0,130390.0
Office Supplies,Aug,705218.0,127637.0
Office Supplies,Sep,742523.0,128615.0
Office Supplies,Oct,786658.0,136274.0
Furniture,Nov,262776.0,45099.0
Office Supplies,Nov,737305.0,126597.0
Technology,May,289513.0,50057.0
Furniture,Feb,213628.0,39327.0
Office Supplies,Apr,728235.0,128703.0
Furniture,Jan,259822.0,45980.0
Furniture,Jun,260893.0,45009.0
Technology,Nov,314737.0,56358.0
Technology,Mar,271471.0,47871.0
Technology,Feb,268272.0,45098.0
Furniture,Apr,299501.0,54001.0
Technology,Apr,290510.0,50556.0
Furniture,Dec,286158.0,51558.0
Office Supplies,May,792253.0,141353.0
Furniture,Jul,240506.0,42091.0
Furniture,May,266400.0,48387.0
