category,month,total_sales,total_profit
Furniture,Sep,227808.0,39806.0
Furniture,Oct,196438.0,35995.0
Furniture,Mar,241241.0,43422.0
Office Supplies,Feb,569279.0,100914.0
Technology,Jul,207150.0,36873.0
Office Supplies,Dec,679557.0,120905.0
Furniture,Aug,199816.0,35681.0
Office Supplies,Jul,549228.0,98875.0
Office Supplies,Jun,499503.0,90037.0
Technology,Sep,175562.0,30609.0
Technology,Dec,232810.0,40632.0
Technology,Jun,247637.0,44539.0
Office Supplies,Jan,642396.0,116271.0
Technology,Aug,208808.0,36323.0
Technology,Oct,254705.0,42323.0
Technology,Jan,233455.0,43879.0
Office Supplies,Mar,618783.0,104830.0
Office Supplies,Aug,554524.0,101593.0
Office Supplies,Sep,565446.0,96586.0
Office Supplies,Oct,607689.0,104498.0
Furniture,Nov,196762.0,33586.0
Office Supplies,Nov,559186.0,95893.0
Technology,May,210283.0,35619.0
Furniture,Feb,168658.0,31818.0
Office Supplies,Apr,543243.0,97254.0
Furniture,Jan,189995.0,33431.0
Furniture,Jun,190518.0,34510.0
Technology,Nov,246606.0,43254.0
Technology,Mar,210105.0,37022.0
Technology,Feb,188217.0,31026.0
Furniture,Apr,225548.0,40738.0
Technology,Apr,221151.0,38378.0
Furniture,Dec,203081.0,36355.0
Office Supplies,May,581809.0,104166.0
Furniture,Jul,169008.0,30291.0
Furniture,May,202720.0,38143.0
