category,month,total_sales,total_profit
Furniture,Sep,257466.0,44706.0
Furniture,Oct,222359.0,40914.0
Furniture,Mar,293907.0,51217.0
Office Supplies,Feb,677977.0,119019.0
Technology,Jul,260113.0,46654.0
Office Supplies,Dec,837937.0,149304.0
Furniture,Aug,250974.0,44676.0
Office Supplies,Jul,682250.0,121772.0
Office Supplies,Jun,633781.0,113090.0
Technology,Sep,210840.0,36816.0
Technology,Dec,277425.0,48962.0
Technology,Jun,291569.0,52638.0
Office Supplies,Jan,779294.0,141185.0
Technology,Aug,260405.0,45368.0
Technology,Oct,319860.0,53139.0
Technology,Jan,266960.0,49742.0
Office Supplies,Mar,712527.0,120696.0
Office Supplies,Aug,661973.0,119809.0
Office Supplies,Sep,671493.0,115684.0
Office Supplies,Oct,730678.0,125563.0
Furniture,Nov,245450.0,41813.0
Office Supplies,Nov,675572.0,116934.0
Technology,May,265013.0,45683.0
Furniture,Feb,202557.0,37078.0
Office Supplies,Apr,659244.0,116819.0
Furniture,Jan,241293.0,42880.0
Furniture,Jun,235602.0,42061.0
Technology,Nov,289847.0,51265.0
Technology,Mar,250533.0,44314.0
Technology,Feb,252906.0,42433.0
Furniture,Apr,269790.0,48352.0
Technology,Apr,272248.0,47218.0
Furniture,Dec,262203.0,48064.0
Office Supplies,May,729847.0,129980.0
Furniture,Jul,207645.0,36718.0
Furniture,May,231917.0,43292.0
