state,total_sales,total_customers
Alabama,99211.0,59
Arizona,355407.0,145
Arkansas,71422.0,13
California,2908556.0,1119
Colorado,363613.0,151
Connecticut,125077.0,54
Delaware,105527.0,40
District of Columbia,10432.0,6
Florida,549566.0,181
Georgia,200439.0,108
Illinois,755337.0,311
Indiana,187764.0,80
Iowa,34158.0,17
Kansas,37428.0,7
Kentucky,315565.0,96
Louisiana,75745.0,32
Maryland,48715.0,19
Massachusetts,190233.0,77
Michigan,268610.0,111
Minnesota,222892.0,84
Mississippi,83485.0,32
Missouri,102727.0,47
Nebraska,19934.0,10
Nevada,34666.0,17
New Hampshire,30350.0,12
New Jersey,210829.0,74
New Mexico,44224.0,28
New York,1454738.0,596
North Carolina,455909.0,219
Ohio,656686.0,264
Oklahoma,48933.0,20
Oregon,53567.0,21
Pennsylvania,760802.0,326
Rhode Island,77144.0,34
South Dakota,19263.0,9
Tennessee,221889.0,89
Texas,1384290.0,540
Utah,69624.0,36
Virginia,299008.0,107
Washington,665828.0,269
Wisconsin,113454.0,69
