segment,month_name,total_sales,total_profit
Corporate,Oct,402109.0,70073.0
Home Office,Jul,268042.0,46547.0
Consumer,Jul,613993.0,107773.0
Corporate,Mar,377583.0,64182.0
Consumer,Nov,594207.0,101971.0
Home Office,Aug,211358.0,35523.0
Consumer,Aug,658941.0,120039.0
Corporate,Aug,358671.0,62711.0
Home Office,Apr,215013.0,38320.0
Consumer,Jun,647854.0,113708.0
Consumer,May,625821.0,111064.0
Home Office,Sep,196082.0,32827.0
Corporate,Jul,339856.0,61791.0
Corporate,Dec,470079.0,85464.0
Corporate,May,407959.0,71595.0
Corporate,Apr,400548.0,70481.0
Home Office,May,234920.0,43746.0
Home Office,Jan,259207.0,47100.0
Home Office,Jun,217044.0,39459.0
Consumer,Sep,649802.0,113079.0
Home Office,Mar,261038.0,42819.0
Consumer,Apr,657543.0,117615.0
Home Office,Nov,234451.0,40923.0
Home Office,Oct,261252.0,45559.0
Consumer,Dec,719532.0,128604.0
Corporate,Nov,433148.0,74917.0
Corporate,Sep,349470.0,61341.0
Corporate,Feb,363496.0,61916.0
Home Office,Feb,214068.0,38168.0
Consumer,Mar,671414.0,118308.0
Consumer,Oct,666412.0,114921.0
Corporate,Jan,437641.0,77020.0
Consumer,Jan,659549.0,121167.0
Corporate,Jun,367379.0,65835.0
Home Office,Dec,246370.0,41769.0
Consumer,Feb,592386.0,105192.0
