category,month,total_sales,total_profit
Furniture,Sep,272735.0,47271.0
Furniture,Oct,242536.0,44401.0
Furniture,Mar,309081.0,54219.0
Office Supplies,Feb,720470.0,126722.0
Technology,Jul,284465.0,50747.0
Office Supplies,Dec,896875.0,159212.0
Furniture,Aug,271158.0,48470.0
Office Supplies,Jul,746514.0,131610.0
Office Supplies,Jun,699183.0,124327.0
Technology,Sep,227998.0,39540.0
Technology,Dec,304967.0,53464.0
Technology,Jun,312686.0,56552.0
Office Supplies,Jan,833435.0,150473.0
Technology,Aug,294661.0,50764.0
Technology,Oct,338209.0,56463.0
Technology,Jan,298423.0,55302.0
Office Supplies,Mar,769156.0,130285.0
Office Supplies,Aug,705218.0,127637.0
Office Supplies,Sep,739656.0,127929.0
Office Supplies,Oct,786322.0,136228.0
Furniture,Nov,262776.0,45099.0
Office Supplies,Nov,735692.0,126316.0
Technology,May,289022.0,49948.0
Furniture,Feb,213386.0,39295.0
Office Supplies,Apr,726999.0,128467.0
Furniture,Jan,259380.0,45918.0
Furniture,Jun,260601.0,44981.0
Technology,Nov,314597.0,56318.0
Technology,Mar,271471.0,47871.0
Technology,Feb,268272.0,45098.0
Furniture,Apr,299254.0,53972.0
Technology,Apr,290035.0,50464.0
Furniture,Dec,285681.0,51437.0
Office Supplies,May,790533.0,140921.0
Furniture,Jul,240506.0,42091.0
Furniture,May,265795.0,48322.0
