category,month,total_sales,total_profit
Furniture,Sep,294566.0,50949.0
Furniture,Oct,260593.0,47930.0
Furniture,Mar,331469.0,57519.0
Office Supplies,Feb,765994.0,134569.0
Technology,Jul,308030.0,55090.0
Office Supplies,Dec,941706.0,166216.0
Furniture,Aug,285358.0,51100.0
Office Supplies,Jul,815852.0,143269.0
Office Supplies,Jun,764342.0,136670.0
Technology,Sep,244287.0,42351.0
Technology,Dec,323584.0,56801.0
Technology,Jun,334769.0,60731.0
Office Supplies,Jan,890793.0,160758.0
Technology,Aug,320276.0,54997.0
Technology,Oct,362849.0,60708.0
Technology,Jan,330782.0,61402.0
Office Supplies,Mar,848632.0,142636.0
Office Supplies,Aug,749405.0,135934.0
Office Supplies,Sep,801501.0,138960.0
Office Supplies,Oct,851313.0,147606.0
Furniture,Nov,284913.0,48745.0
Office Supplies,Nov,792796.0,136716.0
Technology,May,313033.0,53327.0
Furniture,Feb,232649.0,42352.0
Office Supplies,Apr,777865.0,137618.0
Furniture,Jan,279677.0,50154.0
Furniture,Jun,281124.0,47942.0
Technology,Nov,339243.0,60847.0
Technology,Mar,288410.0,50875.0
Technology,Feb,283677.0,47450.0
Furniture,Apr,325407.0,57635.0
Technology,Apr,308338.0,53590.0
Furniture,Dec,309907.0,56149.0
Office Supplies,May,847082.0,150926.0
Furniture,Jul,257923.0,45019.0
Furniture,May,306824.0,56341.0
