region,month_name,total_sales
South,Mar,271741.0
South,Jan,242406.0
East,Apr,415303.0
East,Nov,394365.0
Central,May,346253.0
East,Mar,364316.0
Central,Oct,286009.0
South,Nov,208939.0
Central,Apr,313466.0
South,Jul,197823.0
Central,Mar,338127.0
East,Jan,387964.0
West,Apr,399206.0
East,Sep,361635.0
South,Sep,238701.0
West,Aug,373530.0
Central,Nov,319980.0
South,Feb,242734.0
West,Mar,395394.0
South,Dec,280525.0
East,Feb,339366.0
West,Dec,473352.0
West,Sep,357700.0
Central,Sep,294338.0
South,Aug,252561.0
East,Jun,319626.0
West,Jan,455655.0
South,Apr,205944.0
Central,Dec,341391.0
West,Oct,416893.0
Central,Jun,314343.0
Central,Aug,267711.0
East,Oct,423200.0
West,Jun,421220.0
West,Jul,382812.0
West,Nov,404268.0
East,Dec,409454.0
South,Jun,229150.0
East,Jul,386315.0
East,May,332293.0
South,Oct,249458.0
Central,Jul,320715.0
Central,Jan,322312.0
East,Aug,386202.0
Central,Feb,303600.0
South,May,248917.0
West,May,431408.0
West,Feb,328881.0
