state,total_sales,total_customers
Alabama,99211.0,59
Arizona,357978.0,150
Arkansas,71422.0,13
California,2923209.0,1141
Colorado,374374.0,153
Connecticut,125077.0,54
Delaware,105748.0,41
District of Columbia,10432.0,6
Florida,558618.0,188
Georgia,202478.0,111
Illinois,761578.0,317
Indiana,188014.0,81
Iowa,34158.0,17
Kansas,37428.0,7
Kentucky,318713.0,99
Louisiana,75745.0,32
Maryland,49477.0,20
Massachusetts,192264.0,79
Michigan,268610.0,111
Minnesota,224376.0,86
Mississippi,84737.0,34
Missouri,104604.0,49
Nebraska,19934.0,10
Nevada,34666.0,17
New Hampshire,30350.0,12
New Jersey,211133.0,75
New Mexico,44224.0,28
New York,1462144.0,605
North Carolina,459985.0,225
Ohio,660271.0,269
Oklahoma,53174.0,21
Oregon,53567.0,21
Pennsylvania,767187.0,335
Rhode Island,77144.0,34
South Dakota,19263.0,9
Tennessee,223519.0,92
Texas,1403563.0,549
Utah,71012.0,37
Virginia,299008.0,107
Washington,670771.0,273
Wisconsin,113454.0,69
