region,month_name,total_sales
South,Mar,263463.0
South,Jan,227494.0
East,Apr,374053.0
East,Nov,372610.0
Central,May,314659.0
East,Mar,335657.0
Central,Oct,277234.0
South,Nov,193597.0
Central,Apr,301887.0
South,Jul,184796.0
Central,Mar,326414.0
East,Jan,373136.0
West,Apr,384625.0
East,Sep,329291.0
South,Sep,228065.0
West,Aug,357170.0
Central,Nov,300491.0
South,Feb,236440.0
West,Mar,379030.0
South,Dec,269333.0
East,Feb,324727.0
West,Dec,452130.0
West,Sep,343396.0
Central,Sep,285248.0
South,Aug,239087.0
East,Jun,305570.0
West,Jan,434773.0
South,Apr,198113.0
Central,Dec,320262.0
West,Oct,402337.0
Central,Jun,297803.0
Central,Aug,255246.0
East,Oct,408546.0
West,Jun,401468.0
West,Jul,369008.0
West,Nov,388213.0
East,Dec,389374.0
South,Jun,220453.0
East,Jul,358084.0
East,May,315772.0
South,Oct,235925.0
Central,Jul,302678.0
Central,Jan,311637.0
East,Aug,365002.0
Central,Feb,290429.0
South,May,232506.0
West,May,400621.0
West,Feb,314510.0
