state,total_sales,total_customers
Alabama,102337.0,63
Arizona,397017.0,192
Arkansas,73663.0,17
California,3272616.0,1445
Colorado,414565.0,191
Connecticut,132268.0,66
Delaware,111616.0,48
District of Columbia,15646.0,11
Florida,597701.0,235
Georgia,232225.0,130
Illinois,875440.0,402
Indiana,207745.0,96
Iowa,36309.0,20
Kansas,43546.0,10
Kentucky,341882.0,129
Louisiana,83616.0,38
Maryland,50906.0,25
Massachusetts,227341.0,107
Michigan,291557.0,132
Minnesota,249963.0,105
Mississippi,96659.0,45
Missouri,125178.0,62
Nebraska,20674.0,11
Nevada,37964.0,21
New Hampshire,38793.0,22
New Jersey,235311.0,103
New Mexico,47127.0,31
New York,1656948.0,759
North Carolina,512221.0,276
Ohio,757986.0,349
Oklahoma,60681.0,27
Oregon,68391.0,29
Pennsylvania,887810.0,423
Rhode Island,89007.0,47
South Dakota,19956.0,10
Tennessee,248756.0,124
Texas,1586097.0,719
Utah,81925.0,47
Virginia,326626.0,142
Washington,781094.0,357
Wisconsin,123425.0,82
