region,month_name,total_sales
South,Mar,293412.0
South,Jan,254265.0
East,Apr,435557.0
East,Nov,421728.0
Central,May,365482.0
East,Mar,391465.0
Central,Oct,309532.0
South,Nov,218930.0
Central,Apr,326195.0
South,Jul,210466.0
Central,Mar,350862.0
East,Jan,414461.0
West,Apr,414448.0
East,Sep,383362.0
South,Sep,254012.0
West,Aug,394500.0
Central,Nov,337434.0
South,Feb,254334.0
West,Mar,420429.0
South,Dec,291230.0
East,Feb,355646.0
West,Dec,503611.0
West,Sep,385998.0
Central,Sep,307102.0
South,Aug,270824.0
East,Jun,336699.0
West,Jan,479138.0
South,Apr,228973.0
Central,Dec,352155.0
West,Oct,439313.0
Central,Jun,330517.0
Central,Aug,280222.0
East,Oct,454775.0
West,Jun,458354.0
West,Jul,404990.0
West,Nov,430315.0
East,Dec,419658.0
South,Jun,247946.0
East,Jul,405344.0
East,May,360846.0
South,Oct,262753.0
Central,Jul,341862.0
Central,Jan,347488.0
East,Aug,403766.0
Central,Feb,319249.0
South,May,260660.0
West,May,465093.0
West,Feb,348803.0
