segment,month_name,total_sales,total_profit
Corporate,Oct,450609.0,77933.0
Home Office,Jul,300964.0,52117.0
Consumer,Jul,685449.0,120247.0
Corporate,Mar,443477.0,74812.0
Consumer,Nov,675296.0,117378.0
Home Office,Aug,236755.0,40361.0
Consumer,Aug,726344.0,132791.0
Corporate,Aug,398530.0,70221.0
Home Office,Apr,237756.0,42514.0
Consumer,Jun,739232.0,130512.0
Consumer,May,747468.0,132137.0
Home Office,Sep,224996.0,37942.0
Corporate,Jul,402918.0,72424.0
Corporate,Dec,514808.0,94134.0
Corporate,May,440585.0,77391.0
Corporate,Apr,457793.0,78249.0
Home Office,May,285783.0,52307.0
Home Office,Jan,288312.0,52298.0
Home Office,Jun,245390.0,44108.0
Consumer,Sep,736180.0,127872.0
Home Office,Mar,283744.0,46986.0
Consumer,Apr,736498.0,131741.0
Home Office,Nov,264449.0,46035.0
Home Office,Oct,282819.0,49675.0
Consumer,Dec,801482.0,141430.0
Corporate,Nov,483462.0,84399.0
Corporate,Sep,386777.0,67938.0
Corporate,Feb,399404.0,67969.0
Home Office,Feb,239822.0,42419.0
Consumer,Mar,748276.0,130366.0
Consumer,Oct,749212.0,129850.0
Corporate,Jan,484670.0,85483.0
Consumer,Jan,737226.0,135880.0
Corporate,Jun,415915.0,74929.0
Home Office,Dec,268754.0,45215.0
Consumer,Feb,659921.0,117002.0
