state,total_sales,total_customers
Alabama,102337.0,63
Arizona,391767.0,185
Arkansas,73663.0,17
California,3224374.0,1401
Colorado,401528.0,182
Connecticut,131888.0,65
Delaware,110906.0,47
District of Columbia,14015.0,10
Florida,593031.0,226
Georgia,232225.0,130
Illinois,867992.0,395
Indiana,201429.0,92
Iowa,36309.0,20
Kansas,43546.0,10
Kentucky,337300.0,124
Louisiana,81240.0,37
Maryland,50906.0,25
Massachusetts,226004.0,106
Michigan,289052.0,130
Minnesota,238597.0,100
Mississippi,96659.0,45
Missouri,124366.0,61
Nebraska,20674.0,11
Nevada,37964.0,21
New Hampshire,38793.0,22
New Jersey,232727.0,100
New Mexico,47127.0,31
New York,1629467.0,742
North Carolina,509910.0,273
Ohio,746696.0,337
Oklahoma,60681.0,27
Oregon,65398.0,27
Pennsylvania,864131.0,409
Rhode Island,89007.0,47
South Dakota,19956.0,10
Tennessee,244917.0,118
Texas,1566112.0,695
Utah,81463.0,45
Virginia,322527.0,137
Washington,775731.0,351
Wisconsin,122667.0,80
