state,total_sales,total_customers
Alabama,100990.0,61
Arizona,382920.0,178
Arkansas,72973.0,16
California,3143832.0,1343
Colorado,393696.0,173
Connecticut,130349.0,64
Delaware,109762.0,46
District of Columbia,13366.0,9
Florida,580033.0,213
Georgia,226298.0,126
Illinois,839492.0,378
Indiana,195638.0,89
Iowa,36309.0,20
Kansas,41726.0,9
Kentucky,332349.0,116
Louisiana,78543.0,34
Maryland,50906.0,25
Massachusetts,208676.0,93
Michigan,286169.0,127
Minnesota,233196.0,95
Mississippi,93657.0,42
Missouri,123854.0,59
Nebraska,20674.0,11
Nevada,36964.0,19
New Hampshire,36829.0,20
New Jersey,228274.0,94
New Mexico,47127.0,31
New York,1587004.0,716
North Carolina,499656.0,260
Ohio,733179.0,321
Oklahoma,57514.0,25
Oregon,64129.0,26
Pennsylvania,850748.0,395
Rhode Island,85380.0,45
South Dakota,19956.0,10
Tennessee,243626.0,114
Texas,1535711.0,660
Utah,79873.0,43
Virginia,311216.0,125
Washington,747815.0,328
Wisconsin,119398.0,76
