state,total_sales,total_customers
Alabama,98053.0,58
Arizona,353571.0,144
Arkansas,71422.0,13
California,2887818.0,1096
Colorado,361184.0,149
Connecticut,125077.0,54
Delaware,105470.0,39
District of Columbia,10432.0,6
Florida,547948.0,179
Georgia,196502.0,102
Illinois,747895.0,305
Indiana,187764.0,80
Iowa,23276.0,16
Kansas,37428.0,7
Kentucky,313555.0,95
Louisiana,65691.0,31
Maryland,46337.0,18
Massachusetts,188331.0,75
Michigan,267051.0,110
Minnesota,222200.0,83
Mississippi,83408.0,31
Missouri,102727.0,47
Nebraska,18679.0,9
Nevada,33921.0,16
New Hampshire,30350.0,12
New Jersey,209811.0,73
New Mexico,40245.0,26
New York,1438087.0,578
North Carolina,454906.0,217
Ohio,655867.0,263
Oklahoma,48933.0,20
Oregon,52951.0,20
Pennsylvania,743276.0,316
Rhode Island,74937.0,31
South Dakota,18929.0,8
Tennessee,220999.0,88
Texas,1376699.0,532
Utah,69563.0,35
Virginia,293429.0,103
Washington,656347.0,261
Wisconsin,111191.0,66
