region,month_name,total_sales
South,Mar,261872.0
South,Jan,224951.0
East,Apr,373812.0
East,Nov,371909.0
Central,May,313925.0
East,Mar,335056.0
Central,Oct,277119.0
South,Nov,193597.0
Central,Apr,301467.0
South,Jul,184129.0
Central,Mar,324750.0
East,Jan,372642.0
West,Apr,384382.0
East,Sep,328216.0
South,Sep,219005.0
West,Aug,356163.0
Central,Nov,299896.0
South,Feb,236143.0
West,Mar,378372.0
South,Dec,268902.0
East,Feb,323947.0
West,Dec,445286.0
West,Sep,343396.0
Central,Sep,284954.0
South,Aug,239087.0
East,Jun,305252.0
West,Jan,434773.0
South,Apr,196896.0
Central,Dec,319708.0
West,Oct,401179.0
Central,Jun,297254.0
Central,Aug,255246.0
East,Oct,408097.0
West,Jun,401415.0
West,Jul,369008.0
West,Nov,388157.0
East,Dec,388332.0
South,Jun,219159.0
East,Jul,357264.0
East,May,314442.0
South,Oct,235472.0
Central,Jul,302470.0
Central,Jan,311475.0
East,Aug,365002.0
Central,Feb,289558.0
South,May,231959.0
West,May,400621.0
West,Feb,314216.0
